image,pair_id,x1,y1,x2,y2,width,height,area
0004_top_20250705_t1.JPG,1,298,559,357,638,59,79,4661
0004_top_20250705_t1.JPG,2,429,372,468,453,39,81,3159
0004_top_20250705_t1.JPG,3,187,464,248,538,61,74,4514
0004_top_20250705_t1.JPG,4,72,579,127,640,55,61,3355
0004_top_20250705_t1.JPG,5,169,518,228,595,59,77,4543
0004_top_20250705_t1.JPG,6,263,244,308,305,45,61,2745
0004_top_20250705_t1.JPG,7,221,371,272,439,51,68,3468
0004_top_20250705_t1.JPG,8,522,153,550,238,28,85,2380
0004_top_20250705_t1.JPG,9,572,221,605,294,33,73,2409
0004_top_20250705_t1.JPG,10,96,515,150,577,54,62,3348
0004_top_20250705_t1.JPG,11,345,272,375,357,30,85,2550
0004_top_20250705_t1.JPG,12,396,70,426,153,30,83,2490
0004_top_20250705_t1.JPG,13,245,285,302,351,57,66,3762
0004_top_20250705_t1.JPG,14,355,37,383,110,28,73,2044
0004_top_20250705_t1.JPG,15,472,121,501,195,29,74,2146
0004_top_20250705_t1.JPG,16,232,0,269,37,37,37,1369
0004_top_20250705_t1.JPG,17,403,403,440,489,37,86,3182
0004_top_20250705_t1.JPG,18,377,441,417,515,40,74,2960
0004_top_20250705_t1.JPG,19,444,109,469,182,25,73,1825
0004_top_20250705_t1.JPG,20,331,28,356,94,25,66,1650
0004_top_20250705_t1.JPG,21,611,323,639,377,28,54,1512
0004_top_20250705_t1.JPG,22,345,468,391,548,46,80,3680
0004_top_20250705_t1.JPG,23,280,0,307,60,27,60,1620
0004_top_20250705_t1.JPG,24,302,11,330,75,28,64,1792
