image,pair_id,x1,y1,x2,y2,width,height,area
0009_top_20250707_t1.png,1,357,217,431,282,74,65,4810
0009_top_20250707_t1.png,2,278,202,350,266,72,64,4608
0009_top_20250707_t1.png,3,193,186,269,252,76,66,5016
0009_top_20250707_t1.png,4,69,431,149,495,80,64,5120
0009_top_20250707_t1.png,5,76,364,153,430,77,66,5082
0009_top_20250707_t1.png,6,125,502,202,574,77,72,5544
0009_top_20250707_t1.png,7,115,179,193,241,78,62,4836
0009_top_20250707_t1.png,8,459,184,526,246,67,62,4154
0009_top_20250707_t1.png,9,398,396,445,514,47,118,5546
0009_top_20250707_t1.png,10,502,366,544,473,42,107,4494
0009_top_20250707_t1.png,11,331,425,373,541,42,116,4872
0009_top_20250707_t1.png,12,297,434,335,543,38,109,4142
0009_top_20250707_t1.png,13,260,436,299,548,39,112,4368
0009_top_20250707_t1.png,14,364,415,406,522,42,107,4494
