image,pair_id,x1,y1,x2,y2,width,height,area
0013_a_top_20250702_t1.jpg,1,270,362,304,485,34,123,4182
0013_a_top_20250702_t1.jpg,2,376,363,405,488,29,125,3625
0013_a_top_20250702_t1.jpg,3,492,509,522,626,30,117,3510
0013_a_top_20250702_t1.jpg,4,374,505,401,627,27,122,3294
0013_a_top_20250702_t1.jpg,5,558,380,595,491,37,111,4107
0013_a_top_20250702_t1.jpg,6,338,498,367,624,29,126,3654
0013_a_top_20250702_t1.jpg,7,339,364,369,470,30,106,3180
0013_a_top_20250702_t1.jpg,8,622,375,639,502,17,127,2159
0013_a_top_20250702_t1.jpg,9,628,376,639,496,11,120,1320
0013_a_top_20250702_t1.jpg,10,588,127,627,249,39,122,4758
