image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_s006_top_20250707_t0.png,1,411,6,514,65,103,59,6077
blue_filtered_s006_top_20250707_t0.png,2,415,82,517,149,102,67,6834
blue_filtered_s006_top_20250707_t0.png,3,409,497,511,564,102,67,6834
blue_filtered_s006_top_20250707_t0.png,4,176,43,221,206,45,163,7335
blue_filtered_s006_top_20250707_t0.png,5,415,399,517,476,102,77,7854
blue_filtered_s006_top_20250707_t0.png,6,126,40,168,200,42,160,6720
blue_filtered_s006_top_20250707_t0.png,7,3,448,56,563,53,115,6095
blue_filtered_s006_top_20250707_t0.png,8,39,486,103,603,64,117,7488
blue_filtered_s006_top_20250707_t0.png,9,91,531,148,640,57,109,6213
blue_filtered_s006_top_20250707_t0.png,10,150,573,200,640,50,67,3350
