image,pair_id,x1,y1,x2,y2,width,height,area
blue_filtered_s007_top_20250619_t1.jpg,1,228,326,266,460,38,134,5092
blue_filtered_s007_top_20250619_t1.jpg,2,138,302,184,416,46,114,5244
blue_filtered_s007_top_20250619_t1.jpg,3,94,279,136,387,42,108,4536
blue_filtered_s007_top_20250619_t1.jpg,4,34,265,91,373,57,108,6156
blue_filtered_s007_top_20250619_t1.jpg,5,321,364,355,501,34,137,4658
blue_filtered_s007_top_20250619_t1.jpg,6,274,349,307,465,33,116,3828
blue_filtered_s007_top_20250619_t1.jpg,7,367,379,409,535,42,156,6552
blue_filtered_s007_top_20250619_t1.jpg,8,457,411,513,584,56,173,9688
blue_filtered_s007_top_20250619_t1.jpg,9,0,247,48,363,48,116,5568
blue_filtered_s007_top_20250619_t1.jpg,10,577,505,626,639,49,134,6566
