image,pair_id,x1,y1,x2,y2,width,height,area
blurred_0009_top_20250705_t0.png,1,155,67,180,130,25,63,1575
blurred_0009_top_20250705_t0.png,2,546,533,576,587,30,54,1620
blurred_0009_top_20250705_t0.png,3,84,420,115,473,31,53,1643
blurred_0009_top_20250705_t0.png,4,346,0,375,46,29,46,1334
blurred_0009_top_20250705_t0.png,5,289,225,319,278,30,53,1590
blurred_0009_top_20250705_t0.png,6,351,1,374,43,23,42,966
blurred_0009_top_20250705_t0.png,7,222,405,240,447,18,42,756
blurred_0009_top_20250705_t0.png,8,334,198,354,245,20,47,940
blurred_0009_top_20250705_t0.png,9,330,1,357,58,27,57,1539
blurred_0009_top_20250705_t0.png,10,78,233,101,285,23,52,1196
blurred_0009_top_20250705_t0.png,11,310,18,340,73,30,55,1650
blurred_0009_top_20250705_t0.png,12,202,312,228,367,26,55,1430
blurred_0009_top_20250705_t0.png,13,309,208,338,261,29,53,1537
blurred_0009_top_20250705_t0.png,14,252,544,277,600,25,56,1400
blurred_0009_top_20250705_t0.png,15,234,273,258,329,24,56,1344
blurred_0009_top_20250705_t0.png,16,419,504,441,551,22,47,1034
blurred_0009_top_20250705_t0.png,17,398,221,426,279,28,58,1624
blurred_0009_top_20250705_t0.png,18,295,32,321,86,26,54,1404
blurred_0009_top_20250705_t0.png,19,448,458,478,513,30,55,1650
blurred_0009_top_20250705_t0.png,20,181,432,201,478,20,46,920
blurred_0009_top_20250705_t0.png,21,384,150,411,205,27,55,1485
blurred_0009_top_20250705_t0.png,22,400,527,421,574,21,47,987
blurred_0009_top_20250705_t0.png,23,430,381,463,444,33,63,2079
blurred_0009_top_20250705_t0.png,24,163,449,184,497,21,48,1008
blurred_0009_top_20250705_t0.png,25,359,543,385,596,26,53,1378
blurred_0009_top_20250705_t0.png,26,324,491,355,547,31,56,1736
blurred_0009_top_20250705_t0.png,27,402,436,423,481,21,45,945
blurred_0009_top_20250705_t0.png,28,119,484,151,538,32,54,1728
blurred_0009_top_20250705_t0.png,29,452,459,476,506,24,47,1128
blurred_0009_top_20250705_t0.png,30,397,525,425,578,28,53,1484
blurred_0009_top_20250705_t0.png,31,240,82,269,136,29,54,1566
blurred_0009_top_20250705_t0.png,32,375,540,405,595,30,55,1650
blurred_0009_top_20250705_t0.png,33,98,222,122,270,24,48,1152
blurred_0009_top_20250705_t0.png,34,364,461,384,509,20,48,960
blurred_0009_top_20250705_t0.png,35,436,386,460,440,24,54,1296
blurred_0009_top_20250705_t0.png,36,314,20,336,68,22,48,1056
blurred_0009_top_20250705_t0.png,37,380,438,402,486,22,48,1056
blurred_0009_top_20250705_t0.png,38,99,493,132,551,33,58,1914
blurred_0009_top_20250705_t0.png,39,125,485,148,535,23,50,1150
blurred_0009_top_20250705_t0.png,40,132,189,161,248,29,59,1711
blurred_0009_top_20250705_t0.png,41,414,499,444,552,30,53,1590
blurred_0009_top_20250705_t0.png,42,260,66,280,111,20,45,900
blurred_0009_top_20250705_t0.png,43,292,537,314,581,22,44,968
blurred_0009_top_20250705_t0.png,44,376,439,407,489,31,50,1550
blurred_0009_top_20250705_t0.png,45,255,367,274,412,19,45,855
blurred_0009_top_20250705_t0.png,46,178,431,206,480,28,49,1372
blurred_0009_top_20250705_t0.png,47,237,385,257,433,20,48,960
blurred_0009_top_20250705_t0.png,48,345,171,374,236,29,65,1885
blurred_0009_top_20250705_t0.png,49,351,190,370,235,19,45,855
blurred_0009_top_20250705_t0.png,50,202,419,223,466,21,47,987
blurred_0009_top_20250705_t0.png,51,334,3,353,52,19,49,931
blurred_0009_top_20250705_t0.png,52,311,307,332,359,21,52,1092
blurred_0009_top_20250705_t0.png,53,274,49,302,101,28,52,1456
blurred_0009_top_20250705_t0.png,54,419,416,441,460,22,44,968
blurred_0009_top_20250705_t0.png,55,274,346,296,396,22,50,1100
blurred_0009_top_20250705_t0.png,56,183,331,209,384,26,53,1378
blurred_0009_top_20250705_t0.png,57,160,444,187,496,27,52,1404
blurred_0009_top_20250705_t0.png,58,143,463,165,511,22,48,1056
blurred_0009_top_20250705_t0.png,59,256,63,286,112,30,49,1470
blurred_0009_top_20250705_t0.png,60,224,95,251,152,27,57,1539
blurred_0009_top_20250705_t0.png,61,343,473,372,532,29,59,1711
blurred_0009_top_20250705_t0.png,62,348,171,379,232,31,61,1891
blurred_0009_top_20250705_t0.png,63,68,0,97,15,29,15,435
blurred_0009_top_20250705_t0.png,64,412,402,444,460,32,58,1856
blurred_0009_top_20250705_t0.png,65,327,293,349,340,22,47,1034
blurred_0009_top_20250705_t0.png,66,139,465,168,516,29,51,1479
blurred_0009_top_20250705_t0.png,67,271,542,297,594,26,52,1352
blurred_0009_top_20250705_t0.png,68,217,404,241,451,24,47,1128
blurred_0009_top_20250705_t0.png,69,227,99,247,150,20,51,1020
blurred_0009_top_20250705_t0.png,70,429,476,464,534,35,58,2030
blurred_0009_top_20250705_t0.png,71,304,305,333,362,29,57,1653
blurred_0009_top_20250705_t0.png,72,360,459,387,509,27,50,1350
blurred_0009_top_20250705_t0.png,73,155,160,175,214,20,54,1080
blurred_0009_top_20250705_t0.png,74,432,479,457,532,25,53,1325
