image,pair_id,x1,y1,x2,y2,width,height,area
blurred_0031_top_20250624_t0.jpg,1,237,329,302,373,65,44,2860
blurred_0031_top_20250624_t0.jpg,2,130,164,210,213,80,49,3920
blurred_0031_top_20250624_t0.jpg,3,335,319,409,363,74,44,3256
blurred_0031_top_20250624_t0.jpg,4,161,415,194,553,33,138,4554
blurred_0031_top_20250624_t0.jpg,5,222,404,252,532,30,128,3840
blurred_0031_top_20250624_t0.jpg,6,393,382,421,513,28,131,3668
blurred_0031_top_20250624_t0.jpg,7,314,409,341,522,27,113,3051
blurred_0031_top_20250624_t0.jpg,8,354,400,381,525,27,125,3375
blurred_0031_top_20250624_t0.jpg,9,272,409,301,521,29,112,3248
blurred_0031_top_20250624_t0.jpg,10,364,49,388,164,24,115,2760
blurred_0031_top_20250624_t0.jpg,11,552,435,582,555,30,120,3600
blurred_0031_top_20250624_t0.jpg,12,434,399,462,512,28,113,3164
blurred_0031_top_20250624_t0.jpg,13,222,61,249,173,27,112,3024
blurred_0031_top_20250624_t0.jpg,14,471,417,501,525,30,108,3240
blurred_0031_top_20250624_t0.jpg,15,510,427,542,532,32,105,3360
blurred_0031_top_20250624_t0.jpg,16,331,63,353,157,22,94,2068
