image,pair_id,x1,y1,x2,y2,width,height,area
blurred_s007_top_20250619_t1.jpg,1,137,301,184,414,47,113,5311
blurred_s007_top_20250619_t1.jpg,2,228,325,266,459,38,134,5092
blurred_s007_top_20250619_t1.jpg,3,94,281,137,386,43,105,4515
blurred_s007_top_20250619_t1.jpg,4,320,364,355,502,35,138,4830
blurred_s007_top_20250619_t1.jpg,5,0,245,48,364,48,119,5712
blurred_s007_top_20250619_t1.jpg,6,275,347,307,464,32,117,3744
blurred_s007_top_20250619_t1.jpg,7,35,264,92,370,57,106,6042
blurred_s007_top_20250619_t1.jpg,8,455,404,513,582,58,178,10324
blurred_s007_top_20250619_t1.jpg,9,368,377,410,536,42,159,6678
blurred_s007_top_20250619_t1.jpg,10,578,504,626,639,48,135,6480
