image,pair_id,x1,y1,x2,y2,width,height,area
blurred_s012_top_20250707_t0.JPG,1,379,264,426,301,47,37,1739
blurred_s012_top_20250707_t0.JPG,2,219,570,268,606,49,36,1764
blurred_s012_top_20250707_t0.JPG,3,289,46,330,81,41,35,1435
blurred_s012_top_20250707_t0.JPG,4,271,274,318,311,47,37,1739
blurred_s012_top_20250707_t0.JPG,5,378,508,414,545,36,37,1332
blurred_s012_top_20250707_t0.JPG,6,284,161,326,196,42,35,1470
blurred_s012_top_20250707_t0.JPG,7,286,82,330,120,44,38,1672
blurred_s012_top_20250707_t0.JPG,8,380,221,422,257,42,36,1512
blurred_s012_top_20250707_t0.JPG,9,284,115,329,155,45,40,1800
blurred_s012_top_20250707_t0.JPG,10,260,400,302,437,42,37,1554
blurred_s012_top_20250707_t0.JPG,11,292,13,334,50,42,37,1554
blurred_s012_top_20250707_t0.JPG,12,381,381,422,418,41,37,1517
blurred_s012_top_20250707_t0.JPG,13,379,422,423,454,44,32,1408
blurred_s012_top_20250707_t0.JPG,14,295,0,331,9,36,9,324
