image,pair_id,x1,y1,x2,y2,width,height,area
bright_0009_top_20250705_t0.png,1,156,67,181,129,25,62,1550
bright_0009_top_20250705_t0.png,2,345,0,377,47,32,47,1504
bright_0009_top_20250705_t0.png,3,375,144,411,208,36,64,2304
bright_0009_top_20250705_t0.png,4,548,529,575,583,27,54,1458
bright_0009_top_20250705_t0.png,5,231,272,262,333,31,61,1891
bright_0009_top_20250705_t0.png,6,430,380,466,444,36,64,2304
bright_0009_top_20250705_t0.png,7,76,231,104,291,28,60,1680
bright_0009_top_20250705_t0.png,8,144,354,177,418,33,64,2112
bright_0009_top_20250705_t0.png,9,287,223,320,279,33,56,1848
bright_0009_top_20250705_t0.png,10,327,1,361,59,34,58,1972
bright_0009_top_20250705_t0.png,11,308,209,337,263,29,54,1566
bright_0009_top_20250705_t0.png,12,447,459,480,520,33,61,2013
bright_0009_top_20250705_t0.png,13,395,218,427,285,32,67,2144
bright_0009_top_20250705_t0.png,14,356,541,389,600,33,59,1947
bright_0009_top_20250705_t0.png,15,293,31,322,91,29,60,1740
bright_0009_top_20250705_t0.png,16,412,402,444,457,32,55,1760
bright_0009_top_20250705_t0.png,17,344,172,380,235,36,63,2268
bright_0009_top_20250705_t0.png,18,310,16,344,71,34,55,1870
bright_0009_top_20250705_t0.png,19,86,414,116,471,30,57,1710
bright_0009_top_20250705_t0.png,20,199,310,232,368,33,58,1914
bright_0009_top_20250705_t0.png,21,330,4,356,55,26,51,1326
bright_0009_top_20250705_t0.png,22,332,197,356,249,24,52,1248
bright_0009_top_20250705_t0.png,23,236,79,274,137,38,58,2204
bright_0009_top_20250705_t0.png,24,392,519,427,579,35,60,2100
bright_0009_top_20250705_t0.png,25,118,482,155,539,37,57,2109
bright_0009_top_20250705_t0.png,26,96,218,128,270,32,52,1664
bright_0009_top_20250705_t0.png,27,176,331,212,391,36,60,2160
bright_0009_top_20250705_t0.png,28,300,517,338,579,38,62,2356
bright_0009_top_20250705_t0.png,29,347,181,372,234,25,53,1325
bright_0009_top_20250705_t0.png,30,356,456,394,512,38,56,2128
bright_0009_top_20250705_t0.png,31,364,460,388,510,24,50,1200
bright_0009_top_20250705_t0.png,32,411,498,448,555,37,57,2109
bright_0009_top_20250705_t0.png,33,180,430,204,480,24,50,1200
bright_0009_top_20250705_t0.png,34,356,251,395,311,39,60,2340
bright_0009_top_20250705_t0.png,35,247,540,278,601,31,61,1891
bright_0009_top_20250705_t0.png,36,370,536,408,597,38,61,2318
bright_0009_top_20250705_t0.png,37,104,491,131,549,27,58,1566
bright_0009_top_20250705_t0.png,38,318,491,360,550,42,59,2478
bright_0009_top_20250705_t0.png,39,146,160,182,223,36,63,2268
bright_0009_top_20250705_t0.png,40,375,436,411,492,36,56,2016
bright_0009_top_20250705_t0.png,41,321,198,358,253,37,55,2035
bright_0009_top_20250705_t0.png,42,451,461,477,514,26,53,1378
bright_0009_top_20250705_t0.png,43,340,472,377,537,37,65,2405
bright_0009_top_20250705_t0.png,44,418,501,443,553,25,52,1300
bright_0009_top_20250705_t0.png,45,339,266,375,327,36,61,2196
bright_0009_top_20250705_t0.png,46,301,306,339,364,38,58,2204
bright_0009_top_20250705_t0.png,47,163,448,186,500,23,52,1196
bright_0009_top_20250705_t0.png,48,288,33,326,94,38,61,2318
bright_0009_top_20250705_t0.png,49,345,271,371,326,26,55,1430
bright_0009_top_20250705_t0.png,50,130,190,161,249,31,59,1829
bright_0009_top_20250705_t0.png,51,395,414,432,475,37,61,2257
bright_0009_top_20250705_t0.png,52,432,479,460,534,28,55,1540
bright_0009_top_20250705_t0.png,53,378,434,405,490,27,56,1512
bright_0009_top_20250705_t0.png,54,99,220,121,270,22,50,1100
bright_0009_top_20250705_t0.png,55,150,361,174,416,24,55,1320
bright_0009_top_20250705_t0.png,56,255,60,290,118,35,58,2030
bright_0009_top_20250705_t0.png,57,427,479,466,537,39,58,2262
bright_0009_top_20250705_t0.png,58,126,485,149,536,23,51,1173
bright_0009_top_20250705_t0.png,59,140,463,165,514,25,51,1275
bright_0009_top_20250705_t0.png,60,260,61,284,112,24,51,1224
bright_0009_top_20250705_t0.png,61,272,45,304,104,32,59,1888
bright_0009_top_20250705_t0.png,62,157,445,190,501,33,56,1848
bright_0009_top_20250705_t0.png,63,221,96,254,157,33,61,2013
bright_0009_top_20250705_t0.png,64,244,81,270,135,26,54,1404
bright_0009_top_20250705_t0.png,65,320,286,359,347,39,61,2379
bright_0009_top_20250705_t0.png,66,286,322,320,382,34,60,2040
bright_0009_top_20250705_t0.png,67,343,475,370,532,27,57,1539
bright_0009_top_20250705_t0.png,68,200,117,235,178,35,61,2135
bright_0009_top_20250705_t0.png,69,397,422,425,479,28,57,1596
bright_0009_top_20250705_t0.png,70,264,344,301,403,37,59,2183
bright_0009_top_20250705_t0.png,71,323,494,354,552,31,58,1798
bright_0009_top_20250705_t0.png,72,113,205,141,262,28,57,1596
bright_0009_top_20250705_t0.png,73,173,427,208,485,35,58,2030
bright_0009_top_20250705_t0.png,74,378,234,409,295,31,61,1891
bright_0009_top_20250705_t0.png,75,377,542,405,596,28,54,1512
bright_0009_top_20250705_t0.png,76,204,315,229,367,25,52,1300
bright_0009_top_20250705_t0.png,77,365,253,390,307,25,54,1350
bright_0009_top_20250705_t0.png,78,199,415,225,468,26,53,1378
bright_0009_top_20250705_t0.png,79,272,342,298,400,26,58,1508
bright_0009_top_20250705_t0.png,80,136,463,172,519,36,56,2016
