image,pair_id,x1,y1,x2,y2,width,height,area
bright_0009_top_20250709_t0.JPG,1,446,0,501,118,55,118,6490
bright_0009_top_20250709_t0.JPG,2,440,144,514,225,74,81,5994
bright_0009_top_20250709_t0.JPG,3,514,335,606,411,92,76,6992
bright_0009_top_20250709_t0.JPG,4,268,108,303,234,35,126,4410
bright_0009_top_20250709_t0.JPG,5,311,78,346,214,35,136,4760
bright_0009_top_20250709_t0.JPG,6,514,0,557,105,43,105,4515
bright_0009_top_20250709_t0.JPG,7,399,31,436,171,37,140,5180
bright_0009_top_20250709_t0.JPG,8,177,130,217,265,40,135,5400
bright_0009_top_20250709_t0.JPG,9,136,139,171,275,35,136,4760
bright_0009_top_20250709_t0.JPG,10,87,137,121,278,34,141,4794
bright_0009_top_20250709_t0.JPG,11,434,471,474,632,40,161,6440
bright_0009_top_20250709_t0.JPG,12,356,69,391,192,35,123,4305
bright_0009_top_20250709_t0.JPG,13,224,131,262,263,38,132,5016
bright_0009_top_20250709_t0.JPG,14,44,157,76,279,32,122,3904
bright_0009_top_20250709_t0.JPG,15,338,505,373,640,35,135,4725
bright_0009_top_20250709_t0.JPG,16,387,496,426,639,39,143,5577
bright_0009_top_20250709_t0.JPG,17,482,454,526,601,44,147,6468
bright_0009_top_20250709_t0.JPG,18,1,179,38,308,37,129,4773
bright_0009_top_20250709_t0.JPG,19,293,529,330,640,37,111,4107
