image,pair_id,x1,y1,x2,y2,width,height,area
bright_s012_top_20250707_t0.JPG,1,380,264,426,301,46,37,1702
bright_s012_top_20250707_t0.JPG,2,258,401,301,436,43,35,1505
bright_s012_top_20250707_t0.JPG,3,218,568,268,605,50,37,1850
bright_s012_top_20250707_t0.JPG,4,287,46,331,83,44,37,1628
bright_s012_top_20250707_t0.JPG,5,273,274,319,312,46,38,1748
bright_s012_top_20250707_t0.JPG,6,287,83,329,121,42,38,1596
bright_s012_top_20250707_t0.JPG,7,381,224,423,259,42,35,1470
bright_s012_top_20250707_t0.JPG,8,291,14,333,51,42,37,1554
bright_s012_top_20250707_t0.JPG,9,379,509,416,546,37,37,1369
bright_s012_top_20250707_t0.JPG,10,285,163,325,196,40,33,1320
bright_s012_top_20250707_t0.JPG,11,284,117,329,155,45,38,1710
bright_s012_top_20250707_t0.JPG,12,381,380,424,417,43,37,1591
bright_s012_top_20250707_t0.JPG,13,379,420,425,454,46,34,1564
bright_s012_top_20250707_t0.JPG,14,294,0,332,10,38,10,380
bright_s012_top_20250707_t0.JPG,15,262,333,310,374,48,41,1968
bright_s012_top_20250707_t0.JPG,16,295,0,333,13,38,13,494
bright_s012_top_20250707_t0.JPG,17,412,3,439,76,27,73,1971
