image,pair_id,x1,y1,x2,y2,width,height,area
noisy_0006_top_20250705_t1.JPG,1,401,282,438,329,37,47,1739
noisy_0006_top_20250705_t1.JPG,2,210,378,241,431,31,53,1643
noisy_0006_top_20250705_t1.JPG,3,311,173,347,218,36,45,1620
noisy_0006_top_20250705_t1.JPG,4,440,331,476,380,36,49,1764
noisy_0006_top_20250705_t1.JPG,5,480,383,514,426,34,43,1462
noisy_0006_top_20250705_t1.JPG,6,220,60,253,105,33,45,1485
noisy_0006_top_20250705_t1.JPG,7,167,0,201,39,34,39,1326
noisy_0006_top_20250705_t1.JPG,8,248,99,283,145,35,46,1610
noisy_0006_top_20250705_t1.JPG,9,102,171,135,215,33,44,1452
noisy_0006_top_20250705_t1.JPG,10,280,132,311,173,31,41,1271
noisy_0006_top_20250705_t1.JPG,11,21,252,57,314,36,62,2232
noisy_0006_top_20250705_t1.JPG,12,7,165,45,215,38,50,1900
noisy_0006_top_20250705_t1.JPG,13,253,109,285,145,32,36,1152
noisy_0006_top_20250705_t1.JPG,14,59,301,196,478,137,177,24249
