image,pair_id,x1,y1,x2,y2,width,height,area
noisy_0009_top_20250707_t1.png,1,357,218,431,281,74,63,4662
noisy_0009_top_20250707_t1.png,2,277,205,349,267,72,62,4464
noisy_0009_top_20250707_t1.png,3,192,184,271,252,79,68,5372
noisy_0009_top_20250707_t1.png,4,115,179,193,241,78,62,4836
noisy_0009_top_20250707_t1.png,5,69,430,151,496,82,66,5412
noisy_0009_top_20250707_t1.png,6,75,365,153,431,78,66,5148
noisy_0009_top_20250707_t1.png,7,126,503,202,574,76,71,5396
noisy_0009_top_20250707_t1.png,8,462,183,524,247,62,64,3968
noisy_0009_top_20250707_t1.png,9,401,394,443,508,42,114,4788
noisy_0009_top_20250707_t1.png,10,298,431,335,543,37,112,4144
noisy_0009_top_20250707_t1.png,11,333,427,371,535,38,108,4104
noisy_0009_top_20250707_t1.png,12,503,365,542,470,39,105,4095
noisy_0009_top_20250707_t1.png,13,261,435,298,546,37,111,4107
noisy_0009_top_20250707_t1.png,14,366,413,403,519,37,106,3922
