image,pair_id,x1,y1,x2,y2,width,height,area
noisy_s010_top_20250619_t1.jpg,1,371,330,445,450,74,120,8880
noisy_s010_top_20250619_t1.jpg,2,359,211,389,234,30,23,690
noisy_s010_top_20250619_t1.jpg,3,0,456,91,528,91,72,6552
noisy_s010_top_20250619_t1.jpg,4,159,358,220,399,61,41,2501
noisy_s010_top_20250619_t1.jpg,5,166,309,193,333,27,24,648
noisy_s010_top_20250619_t1.jpg,6,0,454,92,563,92,109,10028
noisy_s010_top_20250619_t1.jpg,7,274,300,311,322,37,22,814
noisy_s010_top_20250619_t1.jpg,8,158,361,204,399,46,38,1748
noisy_s010_top_20250619_t1.jpg,9,596,304,639,370,43,66,2838
noisy_s010_top_20250619_t1.jpg,10,284,301,312,320,28,19,532
