vehicle_id,zone_id,t0_image,t1_image,t0_orig_x1,t0_orig_y1,t0_orig_x2,t0_orig_y2,t0_orig_w,t0_orig_h,t1_orig_x1,t1_orig_y1,t1_orig_x2,t1_orig_y2,t1_orig_w,t1_orig_h,move_dist,diag0,diag1,diag_ratio,delta_min,move_ratio,stop
1,a,0001_top_20250618_t0,0001_top_20250618_t1,101.0,203.0,413.0,456.0,312.0,253.0,201,204,462,430,261,226,75.541,401.688,345.249,0.859,7,0.188,Yes
2,b,0001_top_20250626_t0,0001_top_20250626_t1,389.0,19.0,442.0,79.0,53.0,60.0,389,19,442,79,53,60,0.0,80.056,80.056,1.0,8,0.0,Yes
3,b,0001_top_20250626_t0,0001_top_20250626_t1,222.0,0.0,254.0,84.0,32.0,84.0,222,0,254,84,32,84,0.0,89.889,89.889,1.0,8,0.0,Yes
4,b,0001_top_20250626_t0,0001_top_20250626_t1,262.0,48.0,289.0,164.0,27.0,116.0,262,48,289,164,27,116,0.0,119.101,119.101,1.0,8,0.0,Yes
5,b,0001_top_20250626_t0,0001_top_20250626_t1,389.0,345.0,421.0,465.0,32.0,120.0,389,345,421,465,32,120,0.0,124.193,124.193,1.0,8,0.0,Yes
6,b,0001_top_20250626_t0,0001_top_20250626_t1,302.0,190.0,331.0,313.0,29.0,123.0,302,190,331,313,29,123,0.0,126.372,126.372,1.0,8,0.0,Yes
7,b,0001_top_20250626_t0,0001_top_20250626_t1,267.0,234.0,291.0,328.0,24.0,94.0,267,234,291,328,24,94,0.0,97.015,97.015,1.0,8,0.0,Yes
8,b,0001_top_20250626_t0,0001_top_20250626_t1,216.0,281.0,243.0,391.0,27.0,110.0,216,281,243,391,27,110,0.0,113.265,113.265,1.0,8,0.0,Yes
9,b,0001_top_20250626_t0,0001_top_20250626_t1,348.0,346.0,380.0,461.0,32.0,115.0,348,346,380,461,32,115,0.0,119.369,119.369,1.0,8,0.0,Yes
10,b,0001_top_20250626_t0,0001_top_20250626_t1,221.0,422.0,250.0,539.0,29.0,117.0,221,422,250,539,29,117,0.0,120.54,120.54,1.0,8,0.0,Yes
11,b,0001_top_20250626_t0,0001_top_20250626_t1,342.0,204.0,369.0,329.0,27.0,125.0,342,204,369,329,27,125,0.0,127.883,127.883,1.0,8,0.0,Yes
12,b,0001_top_20250626_t0,0001_top_20250626_t1,227.0,116.0,251.0,212.0,24.0,96.0,227,116,251,212,24,96,0.0,98.955,98.955,1.0,8,0.0,Yes
13,b,0001_top_20250626_t0,0001_top_20250626_t1,263.0,404.0,289.0,513.0,26.0,109.0,263,404,289,513,26,109,0.0,112.058,112.058,1.0,8,0.0,Yes
14,b,0001_top_20250626_t0,0001_top_20250626_t1,391.0,236.0,416.0,326.0,25.0,90.0,391,236,416,326,25,90,0.0,93.408,93.408,1.0,8,0.0,Yes
15,b,0001_top_20250626_t0,0001_top_20250626_t1,443.0,218.0,471.0,342.0,28.0,124.0,443,218,471,342,28,124,0.0,127.122,127.122,1.0,8,0.0,Yes
16,b,0001_top_20250626_t0,0001_top_20250626_t1,369.0,0.0,437.0,18.0,68.0,18.0,369,0,437,18,68,18,0.0,70.342,70.342,1.0,8,0.0,Yes
17,c,0001_top_20250702_t0,0001_top_20250702_t1,145.0,311.0,356.0,461.0,211.0,150.0,152,328,336,453,184,125,7.906,258.884,222.443,0.859,6,0.031,Yes
18,c,0001_top_20250702_t0,0001_top_20250702_t1,147.0,86.0,355.0,233.0,208.0,147.0,159,137,331,261,172,124,39.953,254.702,212.038,0.832,6,0.157,Yes
19,d,0001_top_20250703_t0,0001_top_20250703_t1,232.0,182.0,273.0,319.0,41.0,137.0,121,416,164,561,43,145,44.3,630.537,641.935,1.018,8,0.07,Yes
20,d,0001_top_20250703_t0,0001_top_20250703_t1,305.0,194.0,349.0,324.0,44.0,130.0,199,420,243,559,44,139,11.705,529.366,492.057,0.93,8,0.022,Yes
21,d,0001_top_20250703_t0,0001_top_20250703_t1,540.0,151.0,623.0,214.0,83.0,63.0,435,341,513,402,78,61,2.828,54.562,44.777,0.821,8,0.052,Yes
22,d,0001_top_20250703_t0,0001_top_20250703_t1,189.0,186.0,224.0,320.0,35.0,134.0,73,430,115,567,42,137,59.07,678.428,715.521,1.055,8,0.087,Yes
23,d,0001_top_20250703_t0,0001_top_20250703_t1,457.0,197.0,500.0,335.0,43.0,138.0,356,401,399,542,43,141,12.298,281.753,281.357,0.999,8,0.044,Yes
24,d,0001_top_20250703_t0,0001_top_20250703_t1,375.0,205.0,416.0,339.0,41.0,134.0,270,423,313,560,43,137,14.577,380.879,367.681,0.965,8,0.038,Yes
25,d,0001_top_20250703_t0,0001_top_20250703_t1,493.0,199.0,537.0,333.0,44.0,134.0,393,399,436,536,43,137,7.5,245.605,242.745,0.988,8,0.031,Yes
26,d,0001_top_20250703_t0,0001_top_20250703_t1,417.0,198.0,458.0,334.0,41.0,136.0,314,409,356,549,42,140,10.512,336.69,328.064,0.974,8,0.031,Yes
28,c,0001_top_20250711_t0,0001_top_20250711_t1,258.0,172.0,312.0,284.0,54.0,112.0,258,172,312,284,54,112,64.514,1076.785,1216.635,1.13,9,0.06,Yes
29,c,0001_top_20250711_t0,0001_top_20250711_t1,214.0,187.0,262.0,293.0,48.0,106.0,214,187,262,293,48,106,1.5,489.001,517.244,1.058,9,0.003,Yes
30,c,0001_top_20250711_t0,0001_top_20250711_t1,174.0,209.0,232.0,314.0,58.0,105.0,174,209,232,314,58,105,5.148,897.161,936.978,1.044,9,0.006,Yes
31,c,0001_top_20250711_t0,0001_top_20250711_t1,175.0,206.0,223.0,301.0,48.0,95.0,175,206,223,301,48,95,57.901,4114.244,4244.903,1.032,9,0.014,Yes
32,b,0002_top_20250626_t0,0002_top_20250626_t1,373.0,472.0,463.0,525.0,90.0,53.0,116,141,201,193,85,52,2.121,73.164,77.026,1.053,8,0.029,Yes
33,b,0002_top_20250626_t0,0002_top_20250626_t1,140.0,117.0,220.0,178.0,80.0,61.0,339,513,417,562,78,49,0.5,110.788,111.485,1.006,8,0.005,Yes
34,b,0002_top_20250626_t0,0002_top_20250626_t1,372.0,271.0,440.0,331.0,68.0,60.0,120,315,194,384,74,69,5.315,64.637,68.797,1.064,8,0.082,Yes
35,b,0002_top_20250626_t0,0002_top_20250626_t1,380.0,561.0,459.0,615.0,79.0,54.0,120,49,198,101,78,52,3.536,65.742,74.887,1.139,8,0.054,Yes
36,b,0002_top_20250626_t0,0002_top_20250626_t1,379.0,381.0,436.0,434.0,57.0,53.0,122,222,191,272,69,50,6.325,52.697,62.266,1.182,8,0.12,Yes
37,b,0002_top_20250626_t0,0002_top_20250626_t1,366.0,128.0,407.0,188.0,41.0,60.0,119,476,191,534,72,58,16.688,52.498,65.192,1.242,8,0.318,Yes
40,d,0002_top_20250704_t0,0002_top_20250704_t1,63.0,293.0,98.0,427.0,35.0,134.0,216,298,251,434,35,136,13.416,80.498,79.649,0.989,7,0.167,Yes
42,c,0002_top_20250705_t0,0002_top_20250705_t1,318.0,242.0,352.0,298.0,34.0,56.0,399,277,432,330,33,53,4.031,22.472,23.324,1.038,10,0.179,Yes
43,c,0002_top_20250705_t0,0002_top_20250705_t1,456.0,479.0,491.0,539.0,35.0,60.0,539,506,575,566,36,60,0.5,27.785,31.765,1.143,10,0.018,Yes
44,c,0002_top_20250705_t0,0002_top_20250705_t1,397.0,456.0,436.0,518.0,39.0,62.0,480,484,520,544,40,60,0.707,48.104,51.264,1.066,10,0.015,Yes
45,c,0002_top_20250705_t0,0002_top_20250705_t1,437.0,418.0,471.0,478.0,34.0,60.0,522,448,556,505,34,57,1.414,23.324,23.324,1.0,10,0.061,Yes
46,c,0002_top_20250705_t0,0002_top_20250705_t1,284.0,274.0,319.0,336.0,35.0,62.0,366,308,401,365,35,57,4.0,45.618,45.618,1.0,10,0.088,Yes
47,c,0002_top_20250705_t0,0002_top_20250705_t1,262.0,293.0,300.0,351.0,38.0,58.0,345,326,380,382,35,56,4.123,80.951,80.056,0.989,10,0.051,Yes
48,c,0002_top_20250705_t0,0002_top_20250705_t1,475.0,476.0,512.0,539.0,37.0,63.0,561,502,596,565,35,63,0.707,24.698,26.077,1.056,10,0.029,Yes
49,c,0002_top_20250705_t0,0002_top_20250705_t1,418.0,438.0,459.0,498.0,41.0,60.0,502,467,542,523,40,56,1.118,32.202,32.65,1.014,10,0.035,Yes
50,c,0002_top_20250705_t0,0002_top_20250705_t1,175.0,435.0,217.0,498.0,42.0,63.0,264,467,294,527,30,60,5.657,283.29,243.772,0.861,10,0.02,Yes
51,c,0002_top_20250705_t0,0002_top_20250705_t1,260.0,378.0,293.0,433.0,33.0,55.0,342,405,377,460,35,55,30.594,481.5,425.18,0.883,10,0.064,Yes
52,c,0002_top_20250705_t0,0002_top_20250705_t1,337.0,482.0,374.0,545.0,37.0,63.0,420,511,458,567,38,56,14.23,284.965,252.794,0.887,10,0.05,Yes
53,c,0002_top_20250705_t0,0002_top_20250705_t1,378.0,466.0,414.0,525.0,36.0,59.0,463,494,501,551,38,57,1.0,66.408,68.308,1.029,10,0.015,Yes
54,c,0002_top_20250705_t0,0002_top_20250705_t1,355.0,302.0,395.0,360.0,40.0,58.0,437,334,477,390,40,56,2.55,24.698,26.077,1.056,10,0.103,Yes
55,c,0002_top_20250705_t0,0002_top_20250705_t1,378.0,285.0,413.0,342.0,35.0,57.0,459,319,497,377,38,58,2.062,17.205,20.809,1.209,10,0.12,Yes
56,c,0002_top_20250705_t0,0002_top_20250705_t1,276.0,365.0,317.0,421.0,41.0,56.0,360,396,399,452,39,56,1.118,166.979,164.842,0.987,10,0.007,Yes
57,c,0002_top_20250705_t0,0002_top_20250705_t1,300.0,350.0,335.0,408.0,35.0,58.0,383,380,418,437,35,57,2.55,72.422,73.682,1.017,10,0.035,Yes
58,c,0002_top_20250705_t0,0002_top_20250705_t1,316.0,335.0,355.0,394.0,39.0,59.0,399,365,438,424,39,59,2.55,49.244,52.393,1.064,10,0.052,Yes
59,c,0002_top_20250705_t0,0002_top_20250705_t1,243.0,393.0,273.0,449.0,30.0,56.0,321,422,360,481,39,59,109.465,1595.791,1342.592,0.841,10,0.069,Yes
60,c,0002_top_20250705_t0,0002_top_20250705_t1,362.0,480.0,394.0,533.0,32.0,53.0,442,503,478,559,36,56,6.185,96.566,112.792,1.168,10,0.064,Yes
61,c,0002_top_20250705_t0,0002_top_20250705_t1,339.0,320.0,370.0,373.0,31.0,53.0,419,347,455,405,36,58,3.0,28.178,32.65,1.159,10,0.106,Yes
62,c,0002_top_20250705_t0,0002_top_20250705_t1,165.0,182.0,202.0,246.0,37.0,64.0,244,217,282,279,38,62,13.416,286.803,298.074,1.039,10,0.047,Yes
127,c,0002_top_20250711_t0,0002_top_20250711_t1,80.0,164.0,131.0,201.0,51.0,37.0,80,164,131,201,51,37,0.0,63.008,63.008,1.0,9,0.0,Yes
128,c,0002_top_20250711_t0,0002_top_20250711_t1,82.0,235.0,127.0,271.0,45.0,36.0,82,235,127,271,45,36,0.0,57.628,57.628,1.0,9,0.0,Yes
129,c,0002_top_20250711_t0,0002_top_20250711_t1,82.0,377.0,129.0,412.0,47.0,35.0,82,377,129,412,47,35,0.0,58.6,58.6,1.0,9,0.0,Yes
130,c,0002_top_20250711_t0,0002_top_20250711_t1,206.0,300.0,233.0,371.0,27.0,71.0,206,300,233,371,27,71,0.0,75.961,75.961,1.0,9,0.0,Yes
131,c,0002_top_20250711_t0,0002_top_20250711_t1,381.0,375.0,404.0,450.0,23.0,75.0,381,375,404,450,23,75,0.0,78.447,78.447,1.0,9,0.0,Yes
132,c,0002_top_20250711_t0,0002_top_20250711_t1,95.0,0.0,135.0,28.0,40.0,28.0,95,0,135,28,40,28,0.0,48.826,48.826,1.0,9,0.0,Yes
133,c,0002_top_20250711_t0,0002_top_20250711_t1,421.0,374.0,449.0,452.0,28.0,78.0,421,374,449,452,28,78,0.0,82.873,82.873,1.0,9,0.0,Yes
134,c,0002_top_20250711_t0,0002_top_20250711_t1,357.0,381.0,384.0,449.0,27.0,68.0,357,381,384,449,27,68,0.0,73.164,73.164,1.0,9,0.0,Yes
135,c,0002_top_20250711_t0,0002_top_20250711_t1,211.0,97.0,239.0,151.0,28.0,54.0,211,97,239,151,28,54,0.0,60.828,60.828,1.0,9,0.0,Yes
136,c,0002_top_20250711_t0,0002_top_20250711_t1,266.0,148.0,293.0,205.0,27.0,57.0,266,148,293,205,27,57,0.0,63.071,63.071,1.0,9,0.0,Yes
137,c,0002_top_20250711_t0,0002_top_20250711_t1,231.0,113.0,257.0,161.0,26.0,48.0,231,113,257,161,26,48,0.0,54.589,54.589,1.0,9,0.0,Yes
138,c,0002_top_20250711_t0,0002_top_20250711_t1,246.0,128.0,276.0,191.0,30.0,63.0,246,128,276,191,30,63,0.0,69.778,69.778,1.0,9,0.0,Yes
139,c,0002_top_20250711_t0,0002_top_20250711_t1,251.0,127.0,274.0,181.0,23.0,54.0,251,127,274,181,23,54,0.0,58.694,58.694,1.0,9,0.0,Yes
140,b,0003_top_20250626_t0,0003_top_20250626_t1,253.0,285.0,279.0,380.0,26.0,95.0,245,248,273,367,28,119,25.962,98.494,122.25,1.241,8,0.264,Yes
141,b,0003_top_20250626_t0,0003_top_20250626_t1,391.0,110.0,420.0,226.0,29.0,116.0,398,79,426,197,28,118,30.696,119.57,121.277,1.014,8,0.257,Yes
142,b,0003_top_20250626_t0,0003_top_20250626_t1,250.0,59.0,279.0,175.0,29.0,116.0,248,6,278,134,30,128,47.024,119.57,131.469,1.1,8,0.393,Yes
143,b,0003_top_20250626_t0,0003_top_20250626_t1,392.0,265.0,416.0,360.0,24.0,95.0,393,241,418,335,25,94,24.546,97.985,97.268,0.993,8,0.251,Yes
145,c,0003_top_20250711_t0,0003_top_20250711_t1,74.0,198.0,124.0,362.0,50.0,164.0,74,198,124,362,50,164,2.062,77.233,74.404,0.963,6,0.027,Yes
149,d,0004_top_20250623_t0,0004_top_20250623_t1,363.0,121.0,414.0,319.0,51.0,198.0,356,160,427,351,71,191,35.627,204.463,203.769,0.997,6,0.174,Yes
156,c,0004_top_20250702_t0,0004_top_20250702_t1,199.0,421.0,392.0,549.0,193.0,128.0,164,470,338,578,174,108,59.171,231.588,204.793,0.884,6,0.256,Yes
157,c,0004_top_20250702_t0,0004_top_20250702_t1,199.0,622.0,371.0,640.0,172.0,18.0,177,617,338,640,161,23,27.613,172.939,162.635,0.94,6,0.16,Yes
160,c,0004_top_20250703_t0,0004_top_20250703_t1,311.0,272.0,353.0,365.0,42.0,93.0,311,272,353,365,42,93,0.0,102.044,102.044,1.0,6,0.0,Yes
161,c,0004_top_20250703_t0,0004_top_20250703_t1,351.0,268.0,390.0,361.0,39.0,93.0,351,268,390,361,39,93,0.0,100.846,100.846,1.0,6,0.0,Yes
162,c,0004_top_20250703_t0,0004_top_20250703_t1,0.0,607.0,28.0,640.0,28.0,33.0,0,607,28,640,28,33,0.0,43.278,43.278,1.0,6,0.0,Yes
187,b,0004_top_20250709_t0,0004_top_20250709_t1,175.0,234.0,268.0,407.0,93.0,173.0,175,234,268,407,93,173,2.693,191.951,153.056,0.797,10,0.014,Yes
188,b,0004_top_20250709_t0,0004_top_20250709_t1,543.0,175.0,638.0,348.0,95.0,173.0,543,175,638,348,95,173,3.808,129.035,121.458,0.941,10,0.03,Yes
189,b,0004_top_20250709_t0,0004_top_20250709_t1,286.0,235.0,373.0,416.0,87.0,181.0,286,235,373,416,87,181,4.123,281.768,260.893,0.926,10,0.015,Yes
190,b,0004_top_20250709_t0,0004_top_20250709_t1,415.0,236.0,504.0,424.0,89.0,188.0,415,236,504,424,89,188,21.662,343.444,369.693,1.076,10,0.063,Yes
191,d,0005_top_20250704_t0,0005_top_20250704_t1,429.0,302.0,461.0,433.0,32.0,131.0,558,293,594,426,36,133,4.031,78.39,80.062,1.021,13,0.051,Yes
192,d,0005_top_20250704_t0,0005_top_20250704_t1,124.0,273.0,163.0,389.0,39.0,116.0,258,262,298,375,40,113,7.632,91.548,89.275,0.975,13,0.083,Yes
193,d,0005_top_20250704_t0,0005_top_20250704_t1,206.0,263.0,244.0,411.0,38.0,148.0,338,252,377,399,39,147,4.717,102.083,100.955,0.989,13,0.046,Yes
196,d,0005_top_20250709_t0,0005_top_20250709_t1,103.0,402.0,150.0,443.0,47.0,41.0,181,465,229,507,48,42,9.014,96.607,109.809,1.137,12,0.093,Yes
197,d,0005_top_20250709_t0,0005_top_20250709_t1,173.0,431.0,215.0,479.0,42.0,48.0,255,498,295,544,40,46,7.632,92.315,87.046,0.943,12,0.083,Yes
198,d,0005_top_20250709_t0,0005_top_20250709_t1,215.0,122.0,236.0,193.0,21.0,71.0,287,176,311,245,24,69,2.693,87.618,85.147,0.972,12,0.031,Yes
200,d,0006_top_20250624_t0,0006_top_20250624_t1,597.0,119.0,639.0,426.0,42.0,307.0,584,116,640,511,56,395,41.437,309.86,398.95,1.288,7,0.134,Yes
203,d,0006_top_20250703_t0,0006_top_20250703_t1,371.0,57.0,466.0,131.0,95.0,74.0,391,99,466,168,75,69,2.693,134.417,136.781,1.018,8,0.02,Yes
204,d,0006_top_20250703_t0,0006_top_20250703_t1,394.0,223.0,484.0,296.0,90.0,73.0,404,249,473,311,69,62,2.5,130.108,123.843,0.952,8,0.019,Yes
205,d,0006_top_20250703_t0,0006_top_20250703_t1,78.0,206.0,158.0,283.0,80.0,77.0,149,182,211,263,62,81,1.581,91.935,99.086,1.078,8,0.017,Yes
206,d,0006_top_20250703_t0,0006_top_20250703_t1,468.0,370.0,565.0,448.0,97.0,78.0,458,377,533,451,75,74,8.732,152.109,145.691,0.958,8,0.057,Yes
209,d,0007_top_20250623_t0,0007_top_20250623_t1,156.0,291.0,256.0,363.0,100.0,72.0,184,272,307,351,123,79,42.432,123.223,146.185,1.186,6,0.344,Yes
210,d,0007_top_20250623_t0,0007_top_20250623_t1,184.0,488.0,253.0,564.0,69.0,76.0,165,509,257,580,92,71,19.962,102.65,116.211,1.132,6,0.194,Yes
211,d,0007_top_20250623_t0,0007_top_20250623_t1,173.0,402.0,247.0,469.0,74.0,67.0,178,406,270,473,92,67,14.56,99.825,113.811,1.14,6,0.146,Yes
218,c,0007_top_20250702_t0,0007_top_20250702_t1,48.0,89.0,79.0,189.0,31.0,100.0,140,150,172,264,32,114,20.988,114.237,108.757,0.952,7,0.184,Yes
222,d,0007_top_20250703_t0,0007_top_20250703_t1,330.0,261.0,406.0,316.0,76.0,55.0,318,267,407,331,89,64,11.853,93.814,109.622,1.169,9,0.126,Yes
223,d,0007_top_20250703_t0,0007_top_20250703_t1,332.0,62.0,407.0,121.0,75.0,59.0,325,26,411,95,86,69,31.036,95.425,110.259,1.155,9,0.325,Yes
228,d,0007_top_20250704_t0,0007_top_20250704_t1,529.0,259.0,569.0,407.0,40.0,148.0,627,246,640,386,13,140,9.962,96.255,79.057,0.821,9,0.104,Yes
229,d,0007_top_20250704_t0,0007_top_20250704_t1,451.0,267.0,491.0,382.0,40.0,115.0,553,258,597,371,44,113,2.062,80.802,80.92,1.001,9,0.026,Yes
230,c,0007_top_20250705_t0,0007_top_20250705_t1,226.0,478.0,257.0,547.0,31.0,69.0,226,478,257,547,31,69,6.083,95.525,91.591,0.959,6,0.064,Yes
231,c,0007_top_20250705_t0,0007_top_20250705_t1,188.0,318.0,225.0,398.0,37.0,80.0,188,318,225,398,37,80,18.608,710.471,688.898,0.97,6,0.026,Yes
232,c,0007_top_20250705_t0,0007_top_20250705_t1,333.0,527.0,363.0,591.0,30.0,64.0,333,527,363,591,30,64,14.714,170.658,161.623,0.947,6,0.086,Yes
240,b,0008_top_20250626_t0,0008_top_20250626_t1,146.0,518.0,228.0,567.0,82.0,49.0,146,518,228,567,82,49,0.0,95.525,95.525,1.0,9,0.0,Yes
241,b,0008_top_20250626_t0,0008_top_20250626_t1,151.0,417.0,227.0,468.0,76.0,51.0,151,417,227,468,76,51,0.0,91.526,91.526,1.0,9,0.0,Yes
242,b,0008_top_20250626_t0,0008_top_20250626_t1,351.0,539.0,433.0,596.0,82.0,57.0,351,539,433,596,82,57,0.0,99.865,99.865,1.0,9,0.0,Yes
243,b,0008_top_20250626_t0,0008_top_20250626_t1,351.0,228.0,424.0,276.0,73.0,48.0,351,228,424,276,73,48,0.0,87.367,87.367,1.0,9,0.0,Yes
244,b,0008_top_20250626_t0,0008_top_20250626_t1,350.0,308.0,433.0,360.0,83.0,52.0,350,308,433,360,83,52,0.0,97.944,97.944,1.0,9,0.0,Yes
245,b,0008_top_20250626_t0,0008_top_20250626_t1,350.0,142.0,424.0,200.0,74.0,58.0,350,142,424,200,74,58,0.0,94.021,94.021,1.0,9,0.0,Yes
246,b,0008_top_20250626_t0,0008_top_20250626_t1,346.0,6.0,430.0,61.0,84.0,55.0,346,6,430,61,84,55,0.0,100.404,100.404,1.0,9,0.0,Yes
247,b,0008_top_20250626_t0,0008_top_20250626_t1,346.0,79.0,425.0,131.0,79.0,52.0,346,79,425,131,79,52,0.0,94.578,94.578,1.0,9,0.0,Yes
248,b,0008_top_20250626_t0,0008_top_20250626_t1,585.0,0.0,639.0,240.0,54.0,240.0,585,0,639,240,54,240,0.0,246.0,246.0,1.0,9,0.0,Yes
